age,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,exam_score,gender_Male,gender_Other,extracurricular_participation_Yes
17,3.4,0.1,0.6,0,77.7,7.9,1.0,1,0,1,4,77.1,1,0,1
18,7.4,3.6,3.9,0,83.6,5.5,1.0,3,0,1,7,97.7,0,0,1
21,2.3,1.0,0.4,0,100.0,6.4,1.0,6,0,2,1,66.9,0,0,0
18,6.0,3.4,2.0,1,92.3,7.0,1.0,0,1,2,9,99.9,0,0,1
20,6.0,2.5,2.9,0,85.1,6.7,0.0,5,1,1,10,100.0,1,0,1
20,2.7,1.4,0.4,0,82.6,7.8,1.0,1,1,0,1,57.2,0,0,0
23,4.4,2.0,2.0,1,85.8,7.1,2.0,4,2,2,5,77.3,0,0,0
20,5.9,3.3,2.8,1,79.9,5.5,2.0,3,2,1,7,91.6,1,0,0
23,2.9,2.6,1.8,0,64.0,9.1,2.0,6,0,2,8,70.7,1,0,0
20,3.2,3.2,5.0,0,100.0,6.7,2.0,5,0,0,2,57.6,0,1,0
21,2.6,4.9,0.0,1,86.6,6.3,1.0,6,0,0,4,60.2,0,0,0
24,2.0,0.6,3.0,0,89.0,7.7,0.0,6,0,2,2,50.5,1,0,1
23,2.5,4.4,1.6,0,84.4,6.8,1.0,5,1,1,4,51.3,0,0,0
19,1.7,2.6,2.6,0,77.6,7.0,2.0,4,1,2,6,53.5,1,0,0
22,3.6,1.4,2.3,0,83.1,9.5,2.0,5,1,0,6,79.2,1,0,0
17,2.3,0.9,1.0,0,69.0,6.2,1.0,1,2,1,2,47.2,1,0,1
20,3.9,2.3,2.1,0,100.0,6.1,0.0,6,1,2,4,73.4,1,0,0
18,1.2,3.6,0.0,0,72.7,6.6,0.0,4,0,1,4,41.1,1,0,1
24,4.0,2.3,2.5,0,74.7,7.8,1.0,6,1,2,1,77.8,1,0,0
20,4.8,4.3,2.1,0,80.6,4.7,1.0,5,0,1,2,63.4,0,0,0
18,0.5,0.8,2.5,1,97.9,4.1,0.0,4,0,2,3,43.9,1,0,0
22,4.1,2.5,3.0,0,85.1,5.8,2.0,4,0,2,5,70.2,1,0,0
22,5.3,1.0,2.2,0,72.6,4.5,1.0,0,0,1,8,81.3,0,0,0
22,1.7,2.9,2.0,0,97.5,6.0,2.0,0,0,2,6,50.2,1,0,0
18,6.0,3.6,0.8,0,92.3,7.1,2.0,0,0,2,3,87.9,0,0,0
20,4.1,2.0,1.0,0,90.4,5.4,2.0,5,1,1,6,80.9,1,0,0
22,2.4,0.0,3.1,0,92.2,4.8,2.0,3,1,2,7,63.9,1,0,1
21,3.4,2.7,3.4,0,100.0,6.6,2.0,1,0,2,6,65.6,1,0,0
23,4.3,3.0,1.5,0,100.0,7.5,2.0,5,0,1,10,93.2,1,0,1
18,3.6,3.0,1.9,0,78.1,4.5,2.0,6,1,1,6,74.0,1,0,0
18,4.3,4.0,0.8,0,100.0,7.5,1.0,0,0,1,1,60.8,1,0,0
20,2.1,1.2,3.1,0,88.8,7.5,2.0,4,2,1,3,50.4,1,0,0
18,3.8,3.3,2.5,0,90.0,7.6,2.0,5,1,2,7,74.3,1,0,0
18,1.4,3.9,3.9,1,68.1,8.0,2.0,4,0,1,4,32.8,1,0,1
22,3.3,0.4,0.8,0,83.3,9.1,2.0,6,0,2,4,82.3,1,0,1
20,2.1,2.9,1.4,0,76.9,6.1,1.0,4,0,1,7,60.4,1,0,0
22,2.4,1.9,2.1,0,93.3,6.6,0.0,4,0,1,9,60.0,0,0,1
23,5.4,2.4,2.5,0,95.7,6.0,1.0,2,0,2,2,77.5,0,0,0
24,5.1,2.9,1.6,0,64.3,6.5,1.0,3,1,1,9,86.5,1,0,1
23,4.4,1.9,0.8,0,84.8,8.3,2.0,1,0,1,3,76.9,0,0,0
24,1.9,1.7,2.8,0,96.2,4.9,1.0,1,1,0,6,43.9,0,0,1
22,3.0,2.5,2.6,0,83.1,5.5,1.0,0,1,1,4,51.3,1,0,0
23,5.3,1.2,0.8,0,92.3,8.2,1.0,2,0,1,1,83.3,0,0,0
20,3.7,1.2,3.3,0,88.5,7.7,0.0,5,0,2,9,82.7,0,0,0
17,7.0,3.3,3.1,0,88.4,6.1,2.0,5,0,1,6,94.8,1,0,1
22,4.1,1.1,1.9,0,82.3,7.5,2.0,1,0,2,8,80.8,1,0,0
24,3.8,3.3,1.9,0,72.8,6.9,0.0,3,1,2,2,58.3,0,0,1
21,3.0,3.1,2.4,1,73.8,8.3,1.0,4,0,1,7,66.3,0,0,0
24,3.7,0.4,0.9,0,92.1,6.6,1.0,6,1,1,6,87.9,1,0,0
21,3.3,1.7,1.8,0,85.2,7.7,0.0,0,0,2,2,60.5,1,0,0
18,4.6,3.9,0.0,0,83.6,9.7,0.0,3,0,2,2,84.8,1,0,0
23,4.9,1.3,2.8,0,80.8,7.2,2.0,1,1,1,4,77.0,0,0,0
21,2.3,1.9,0.1,0,81.9,6.6,1.0,2,1,1,4,61.7,0,0,0
24,1.5,3.1,3.5,0,95.5,7.4,1.0,0,0,1,3,44.0,1,0,0
18,0.7,3.4,1.4,1,81.6,6.1,0.0,1,0,0,8,42.4,1,0,0
17,4.3,2.2,1.6,0,71.6,9.4,2.0,5,1,2,7,88.0,0,0,0
20,1.8,1.8,1.1,0,92.4,6.7,2.0,0,0,2,2,48.7,1,0,0
20,0.3,4.2,1.5,0,83.0,6.2,2.0,1,0,1,3,26.8,1,0,1
20,4.1,4.6,3.4,0,85.3,5.5,0.0,5,1,2,10,81.6,0,0,0
21,7.2,3.7,0.0,0,100.0,7.8,2.0,6,0,2,9,100.0,0,0,0
17,3.5,2.6,3.2,1,84.8,7.5,1.0,5,1,1,5,74.0,0,0,1
21,4.8,1.5,2.2,0,87.9,5.9,1.0,4,1,0,2,78.4,0,0,1
23,3.6,1.5,0.5,0,73.2,7.2,1.0,2,1,2,3,70.7,1,0,0
21,3.4,3.1,0.6,0,82.8,4.7,1.0,4,1,2,8,74.3,1,0,0
17,4.9,3.0,3.6,0,91.1,6.7,2.0,1,1,2,4,67.6,0,0,0
17,3.1,4.2,0.8,0,69.4,7.0,2.0,6,1,0,2,64.7,1,0,0
23,3.9,3.3,0.5,0,87.0,8.5,1.0,3,2,1,2,64.1,1,0,0
17,4.0,0.7,3.1,0,86.0,5.6,2.0,6,0,0,6,83.5,1,0,0
24,2.5,3.8,2.2,0,85.4,5.0,2.0,6,0,2,8,63.4,1,0,0
17,5.0,1.3,0.8,0,95.4,5.4,2.0,6,1,2,7,96.2,1,0,0
20,3.2,2.0,2.0,0,88.3,4.9,1.0,4,1,0,4,65.4,1,0,1
24,2.4,2.8,0.7,0,99.8,8.1,1.0,3,0,2,2,62.0,1,0,0
24,4.3,4.9,3.0,0,75.1,8.4,1.0,5,2,2,9,74.0,1,0,1
23,2.2,6.2,3.0,0,86.4,6.9,2.0,1,0,2,4,46.7,0,0,0
19,3.5,3.2,2.4,0,85.8,8.0,0.0,2,1,2,9,75.5,0,0,0
19,3.5,2.3,2.2,0,74.3,6.7,1.0,3,1,0,5,78.1,0,0,1
17,5.1,3.1,3.7,0,94.6,6.4,1.0,1,2,2,7,85.2,0,0,0
24,4.2,3.6,1.8,1,100.0,6.1,1.0,3,0,0,5,75.4,0,0,0
19,3.5,2.1,0.5,1,84.8,6.1,2.0,4,1,1,2,64.2,1,0,0
19,4.7,4.7,2.3,0,90.1,4.6,2.0,1,0,2,6,69.7,0,0,0
17,5.6,2.8,4.1,0,85.8,6.8,2.0,4,0,2,7,90.3,0,0,0
19,4.3,3.1,0.7,0,77.9,6.5,2.0,0,0,1,6,81.4,0,0,0
21,3.5,3.3,1.4,0,66.8,7.4,1.0,1,1,2,3,65.0,1,0,0
18,1.5,3.0,2.3,0,77.9,6.6,1.0,3,0,2,10,57.3,1,0,0
23,1.9,3.5,1.7,1,71.1,6.3,1.0,0,0,2,8,57.7,1,0,0
18,3.0,1.8,0.7,0,100.0,5.5,0.0,4,1,0,3,56.7,1,0,0
17,2.6,1.8,3.0,0,83.8,6.6,1.0,4,1,2,5,62.3,0,0,1
20,3.2,1.2,4.4,0,81.5,7.4,2.0,3,1,1,9,77.9,0,0,0
23,3.6,3.0,2.0,0,93.9,5.1,1.0,0,2,1,5,65.2,1,0,0
17,4.3,3.4,0.8,0,73.8,6.6,2.0,6,0,1,7,76.8,0,1,0
24,3.4,3.0,0.1,0,77.3,6.8,1.0,5,2,1,7,83.8,0,0,0
20,4.2,4.5,2.1,0,85.7,5.6,0.0,2,2,2,5,70.6,1,0,0
18,3.6,2.5,3.0,0,95.3,5.8,0.0,3,0,1,2,63.1,1,0,1
17,0.5,3.3,2.3,0,90.0,6.8,1.0,4,0,2,5,39.0,1,0,0
24,2.1,1.2,1.8,0,87.5,5.1,1.0,1,0,1,7,66.7,1,0,0
23,3.3,2.0,1.2,1,85.8,6.9,0.0,0,0,2,7,72.2,1,0,0
23,1.7,3.3,0.6,0,89.0,5.4,1.0,5,1,2,4,50.1,1,0,1
22,4.4,3.5,2.7,1,87.0,7.8,1.0,2,1,2,1,62.4,1,0,0
24,5.8,2.1,2.8,0,74.7,9.3,1.0,1,1,2,6,96.6,1,0,0
21,5.3,2.4,0.1,0,85.5,5.5,2.0,0,1,2,3,85.8,0,0,1
19,3.2,0.7,3.5,0,74.3,7.1,2.0,5,0,2,5,68.3,1,0,0
20,5.7,2.1,2.4,0,85.8,5.6,1.0,3,2,2,4,83.8,0,0,1
24,3.7,3.6,3.3,1,80.2,7.7,2.0,5,0,0,2,69.3,1,0,0
22,3.0,3.2,0.3,0,100.0,5.0,2.0,3,2,2,7,65.3,0,1,0
19,2.6,3.1,0.3,0,84.6,7.1,2.0,6,0,1,5,77.5,1,0,1
19,3.0,2.6,1.6,0,71.0,5.5,1.0,0,2,1,7,55.0,1,0,1
17,2.9,2.5,2.4,1,83.7,6.3,0.0,5,0,2,9,65.2,0,1,0
19,3.8,1.7,3.8,0,90.2,5.3,2.0,2,0,1,4,58.1,0,0,0
21,3.7,3.3,2.6,1,100.0,7.5,1.0,5,0,2,5,69.2,0,0,0
23,3.5,3.0,1.5,1,79.1,5.5,2.0,0,1,1,9,67.4,1,0,0
22,4.2,3.1,0.7,0,69.2,7.2,2.0,1,2,0,10,79.9,1,0,0
19,5.3,1.9,3.2,0,93.2,6.1,1.0,1,0,1,4,85.7,0,0,1
17,4.9,0.0,0.7,0,71.2,6.4,1.0,5,2,0,5,96.2,0,0,0
21,1.3,3.8,3.6,1,80.6,6.7,1.0,5,1,2,5,40.4,0,0,0
18,0.0,1.9,1.5,0,82.4,5.6,1.0,3,1,1,8,55.2,0,0,0
23,4.9,1.5,3.5,0,84.3,6.8,1.0,0,1,1,4,73.8,1,0,0
23,1.4,3.3,2.5,0,91.9,8.3,1.0,3,0,0,4,46.5,0,0,1
22,3.2,2.0,1.6,0,78.2,5.6,1.0,2,0,1,7,60.5,1,0,1
23,1.7,3.8,1.2,0,82.3,7.9,0.0,6,2,2,5,55.4,1,0,0
19,0.8,3.2,1.4,0,84.9,8.3,2.0,1,2,1,6,45.1,1,0,0
17,4.3,3.3,2.3,0,86.5,5.5,0.0,4,2,2,6,69.4,0,0,0
23,4.6,0.9,1.9,0,86.0,4.8,2.0,4,2,2,6,81.3,1,0,0
23,2.6,4.0,1.1,0,89.4,6.9,2.0,0,0,2,10,66.6,1,0,0
18,0.0,2.8,1.6,0,93.4,5.8,1.0,0,1,2,5,26.7,0,0,0
18,2.7,2.1,1.9,0,88.9,8.7,2.0,4,0,0,5,64.5,1,0,0
20,4.1,2.7,0.0,0,89.5,6.5,1.0,0,2,1,9,87.1,0,0,1
21,1.3,0.4,2.3,1,69.2,5.5,2.0,1,0,2,8,42.2,1,0,1
19,3.8,3.0,0.7,0,85.5,5.1,1.0,2,1,2,4,61.6,0,0,0
23,3.5,1.3,0.5,0,89.8,7.8,1.0,2,1,2,7,81.9,0,0,0
24,4.4,0.9,0.0,0,92.3,5.8,1.0,3,0,2,8,96.5,1,0,0
23,3.7,0.7,0.0,0,78.1,6.6,1.0,1,0,1,9,85.1,1,0,0
17,2.0,3.8,0.3,0,78.4,7.6,1.0,6,2,0,5,58.5,1,0,0
20,5.3,1.7,1.0,0,79.3,5.9,1.0,0,1,2,3,78.4,1,0,1
21,3.3,4.3,3.9,0,90.4,6.4,1.0,0,0,2,4,56.4,0,1,0
24,3.5,1.9,1.2,0,95.3,6.5,0.0,6,1,1,10,92.6,1,0,1
20,2.1,0.5,2.0,0,80.9,7.3,0.0,3,1,2,6,62.3,0,0,1
22,2.8,1.2,2.2,1,94.1,7.2,1.0,3,0,1,10,75.8,1,0,0
21,2.2,4.0,1.9,0,86.2,6.2,0.0,0,0,1,5,47.1,0,0,1
23,3.2,2.3,1.7,1,83.8,6.6,0.0,0,2,2,9,66.3,0,0,0
23,6.1,1.8,0.5,0,82.9,6.1,2.0,6,1,2,3,98.3,0,0,1
21,1.4,2.7,3.4,0,92.5,4.7,0.0,1,1,1,2,29.7,1,0,1
23,1.1,3.1,3.8,0,88.3,6.8,2.0,6,1,0,6,45.5,1,0,0
19,5.7,3.8,0.0,0,100.0,8.8,1.0,3,0,1,7,100.0,1,0,0
21,3.2,4.2,0.7,0,76.5,5.4,2.0,6,0,2,5,67.5,0,0,1
20,2.5,2.1,1.5,0,90.2,5.6,1.0,6,0,1,1,60.3,0,0,1
21,5.1,0.9,0.7,0,79.7,5.5,1.0,6,0,2,3,87.0,0,1,0
24,2.6,2.0,2.4,0,76.3,7.4,1.0,1,1,2,3,48.5,1,0,0
23,6.2,2.8,1.0,0,84.9,7.0,1.0,5,2,2,4,100.0,0,0,0
19,4.5,1.3,4.2,0,86.4,6.3,1.0,0,0,1,10,82.1,0,0,0
19,2.8,1.4,3.1,0,100.0,5.4,0.0,4,0,2,6,63.7,1,0,1
22,6.7,2.9,2.0,0,83.2,6.6,2.0,6,1,1,5,100.0,1,0,0
20,2.6,2.4,2.9,0,73.7,4.6,1.0,4,2,1,1,41.9,0,0,0
18,4.6,2.5,3.0,0,87.7,6.7,1.0,5,1,0,6,72.7,0,0,0
18,3.9,1.6,1.2,0,64.3,7.5,2.0,0,2,1,9,74.3,0,0,1
21,5.5,2.2,0.9,1,84.1,5.0,1.0,3,1,2,1,88.7,1,0,0
22,5.8,1.4,1.9,0,85.2,4.7,2.0,4,1,1,8,96.6,0,0,1
17,3.5,3.6,2.7,0,92.9,8.4,1.0,3,0,1,8,72.6,1,0,1
21,2.4,3.7,2.0,0,94.7,5.8,2.0,4,0,2,3,52.4,1,0,1
22,4.2,0.3,0.1,0,80.0,7.9,0.0,3,0,0,9,100.0,1,0,1
20,2.5,1.4,0.9,0,83.5,6.3,2.0,6,1,2,8,73.1,0,0,0
20,6.5,0.7,1.7,0,77.3,6.3,2.0,4,2,1,3,100.0,0,0,0
20,3.7,1.7,1.7,0,73.7,7.0,1.0,3,2,0,10,80.8,0,0,1
20,3.0,2.4,4.0,0,88.1,5.4,0.0,5,0,2,5,62.9,1,0,0
20,3.8,0.8,0.3,0,72.3,6.7,1.0,1,0,0,3,71.5,0,0,0
22,1.5,1.4,2.4,0,80.9,6.0,2.0,3,0,2,5,46.2,1,0,0
22,2.0,1.3,3.4,1,75.0,4.9,1.0,1,0,1,9,53.8,0,0,0
19,5.3,2.7,4.3,0,90.5,6.9,1.0,1,1,0,4,74.2,1,0,1
24,2.5,2.6,1.4,0,100.0,6.2,0.0,0,2,0,6,52.5,1,0,0
18,1.9,1.6,2.3,0,72.0,6.3,1.0,6,2,0,3,51.2,1,0,0
23,4.3,2.7,2.4,1,66.5,5.0,1.0,5,1,0,3,60.6,1,0,0
20,5.3,1.8,2.0,0,83.8,8.4,2.0,1,1,2,5,91.5,0,0,0
17,4.6,2.2,1.7,0,85.2,7.6,1.0,2,1,1,8,87.3,0,0,0
23,5.0,4.5,2.3,0,87.2,7.7,2.0,6,0,1,8,98.0,1,0,0
22,2.4,4.1,0.0,0,80.5,6.1,1.0,1,1,1,3,47.9,0,0,1
17,1.4,0.9,2.6,1,83.0,4.4,0.0,3,1,2,8,51.0,1,0,0
17,5.8,3.5,1.9,0,88.7,8.8,1.0,1,1,2,8,90.0,0,0,1
17,3.0,3.5,1.6,0,95.4,6.4,1.0,3,0,2,3,54.1,0,0,0
19,3.1,1.1,4.1,0,65.4,5.6,2.0,3,0,2,10,58.4,0,0,1
22,5.5,3.5,1.1,1,81.3,7.0,2.0,2,0,1,10,100.0,1,0,0
17,4.3,4.3,1.4,0,87.1,7.9,1.0,1,2,1,2,65.2,0,0,0
20,4.2,1.2,4.0,0,75.8,6.5,1.0,1,0,2,10,85.3,0,0,0
21,6.7,1.4,0.9,0,100.0,8.0,1.0,4,1,2,2,93.8,1,0,0
17,2.5,3.7,1.2,1,78.6,7.8,2.0,6,1,1,9,78.8,1,0,0
19,4.9,2.8,1.6,0,84.6,5.2,2.0,4,0,1,7,85.0,0,0,0
23,3.6,3.2,2.7,0,90.6,5.7,2.0,0,1,2,6,64.5,0,0,0
22,3.9,2.9,2.0,0,79.1,7.6,1.0,3,2,2,7,71.0,0,0,0
24,5.8,3.0,0.4,0,66.5,3.2,1.0,2,0,1,8,90.8,0,0,0
19,4.3,0.9,1.2,0,80.7,6.3,1.0,4,2,2,1,72.6,0,0,0
17,4.3,3.8,1.1,0,95.3,4.8,1.0,1,0,1,8,70.9,1,0,0
22,5.1,3.9,1.7,1,81.6,5.9,1.0,0,0,0,3,65.1,1,0,1
21,3.0,2.2,2.3,0,76.5,6.1,0.0,2,2,1,3,49.1,1,0,0
17,2.2,2.4,2.3,1,94.3,6.1,0.0,5,1,1,6,62.7,0,0,0
19,1.9,0.7,0.0,0,81.7,5.8,2.0,1,2,0,4,51.5,1,0,0
18,0.6,3.1,3.0,0,79.9,5.2,2.0,1,1,2,4,18.4,0,0,0
20,6.6,3.2,2.1,0,86.5,9.3,1.0,5,2,1,4,100.0,0,0,1
24,1.8,2.4,3.3,1,92.7,8.7,1.0,3,1,2,10,53.3,0,0,0
23,3.2,3.8,2.3,0,100.0,5.1,1.0,3,1,0,9,76.1,1,0,0
19,3.1,2.1,3.0,0,93.3,8.4,2.0,4,1,1,8,85.6,0,0,0
22,4.0,3.2,2.3,1,96.6,6.0,2.0,4,0,2,3,63.0,1,0,1
24,4.7,1.3,3.3,1,79.9,6.7,2.0,1,2,2,1,73.6,0,0,0
24,4.8,2.5,2.4,1,74.7,6.4,2.0,6,0,2,1,76.2,1,0,0
24,2.6,2.3,1.7,0,85.6,5.7,1.0,1,1,2,1,45.5,1,0,1
17,3.2,2.8,4.3,0,86.1,7.7,1.0,4,0,1,4,58.6,0,0,1
20,3.9,2.1,2.8,0,74.2,6.7,1.0,5,1,1,6,77.8,1,0,0
17,3.1,2.3,2.4,1,83.2,5.9,1.0,4,0,2,4,61.5,1,0,1
22,5.9,3.5,0.4,0,89.0,4.9,2.0,1,0,2,3,71.4,0,0,0
17,4.2,2.0,0.4,0,88.6,5.4,1.0,2,2,2,8,93.9,0,0,1
18,4.6,0.6,2.1,0,90.0,4.5,0.0,1,0,2,8,85.9,0,0,0
20,4.5,4.6,2.0,0,87.9,6.5,1.0,2,1,2,6,73.8,0,0,0
20,5.3,4.2,1.1,1,79.9,5.1,2.0,2,0,1,9,83.3,0,0,0
22,3.8,0.9,2.0,1,79.9,6.2,1.0,1,0,2,10,79.7,1,0,0
23,1.6,3.3,3.5,1,73.0,8.1,2.0,6,0,2,1,47.1,1,0,0
18,4.1,1.9,2.6,0,100.0,7.9,1.0,6,1,2,8,91.9,1,0,0
19,2.5,2.8,0.5,1,85.1,6.5,0.0,0,0,0,6,60.6,0,0,1
17,2.7,2.9,1.7,0,82.8,6.4,1.0,4,2,1,1,46.6,0,0,0
21,4.4,2.2,0.9,0,75.7,8.8,2.0,6,0,0,4,84.2,1,0,1
17,5.4,1.6,1.4,0,100.0,7.1,1.0,3,0,1,5,95.5,1,0,0
24,3.5,1.7,1.3,0,74.3,6.1,2.0,1,0,2,7,73.5,0,0,1
17,4.0,1.4,1.3,0,80.7,4.8,1.0,2,0,0,8,75.9,1,0,0
19,6.1,1.5,0.4,0,89.2,7.0,0.0,1,1,1,9,100.0,0,0,0
17,3.9,2.4,1.7,1,91.0,7.5,2.0,4,2,1,6,74.2,0,0,1
18,7.4,1.6,1.2,0,94.6,5.7,1.0,5,1,2,10,100.0,0,0,1
18,4.3,3.3,0.0,0,100.0,6.8,1.0,6,0,1,9,94.9,1,0,0
20,0.9,4.3,4.1,0,90.1,6.1,2.0,6,0,1,4,27.6,0,0,0
22,4.6,1.8,3.0,0,74.4,6.3,1.0,6,0,1,8,86.2,0,0,0
23,4.1,2.8,1.4,0,82.4,3.5,2.0,2,2,1,3,60.1,0,0,0
21,5.4,3.1,1.8,0,88.1,6.2,0.0,3,0,1,4,91.3,0,0,1
